datetime,net_load_after_pv,battery_power
1/15/21 0:00,1923.2,0
1/15/21 0:15,1923.2,0
1/15/21 0:30,1944.8,0
1/15/21 0:45,1909.6,0
1/15/21 1:00,2011.2,0
1/15/21 1:15,1968.4,0
1/15/21 1:30,1950.4,0
1/15/21 1:45,1771.6,0
1/15/21 2:00,1807.6,0
1/15/21 2:15,1809.6,0
1/15/21 2:30,1844,0
1/15/21 2:45,1877.6,0
1/15/21 3:00,2023.2,0
1/15/21 3:15,1951.2,0
1/15/21 3:30,1829.6,0
1/15/21 3:45,1917.2,0
1/15/21 4:00,1978.4,0
1/15/21 4:15,1890.8,0
1/15/21 4:30,1878.4,0
1/15/21 4:45,1846.4,0
1/15/21 5:00,1635.6,0
1/15/21 5:15,1699.2,0
1/15/21 5:30,1790.8,0
1/15/21 5:45,1730.8,0
1/15/21 6:00,1694,0
1/15/21 6:15,1508,0
1/15/21 6:30,1436.4,0
1/15/21 6:45,1424.8,0
1/15/21 7:00,1331.6,0
1/15/21 7:15,1014.4,0
1/15/21 7:30,917.2,0
1/15/21 7:45,1592.8,0
1/15/21 8:00,2047.6,0
1/15/21 8:15,2137.6,0
1/15/21 8:30,2034.8,0
1/15/21 8:45,2158.4,0
1/15/21 9:00,1930.8,0
1/15/21 9:15,1773.2,0
1/15/21 9:30,1830.8,0
1/15/21 9:45,1852,0
1/15/21 10:00,1774.8,0
1/15/21 10:15,1804,0
1/15/21 10:30,1829.2,0
1/15/21 10:45,1661.6,0
1/15/21 11:00,1912.8,0
1/15/21 11:15,790.8,0
1/15/21 11:30,1018,0
1/15/21 11:45,1320.8,0
1/15/21 12:00,1840.4,0
1/15/21 12:15,2049.6,0
1/15/21 12:30,2029.2,0
1/15/21 12:45,1886.4,0
1/15/21 13:00,2090.8,0
1/15/21 13:15,2064,0
1/15/21 13:30,1970.8,0
1/15/21 13:45,2088.4,0
1/15/21 14:00,2200.8,0
1/15/21 14:15,2410.4,0
1/15/21 14:30,2192.8,0
1/15/21 14:45,2066.8,0
1/15/21 15:00,2187.6,0
1/15/21 15:15,2193.2,0
1/15/21 15:30,2060.8,0
1/15/21 15:45,2260.8,0
1/15/21 16:00,2236.8,0
1/15/21 16:15,2348.4,0
1/15/21 16:30,2238.8,0
1/15/21 16:45,2274,0
1/15/21 17:00,2133.2,0
1/15/21 17:15,2083.6,0
1/15/21 17:30,2028,0
1/15/21 17:45,1776,0
1/15/21 18:00,1568,0
1/15/21 18:15,1172.4,0
1/15/21 18:30,1023.6,0
1/15/21 18:45,1619.6,0
1/15/21 19:00,1747.2,0
1/15/21 19:15,1950.8,0
1/15/21 19:30,1720.8,0
1/15/21 19:45,2240,0
1/15/21 20:00,2178.4,0
1/15/21 20:15,2133.6,0
1/15/21 20:30,2110,0
1/15/21 20:45,2096.4,0
1/15/21 21:00,2054.8,0
1/15/21 21:15,1912.4,0
1/15/21 21:30,1904,0
1/15/21 21:45,1754.8,0
1/15/21 22:00,1845.2,0
1/15/21 22:15,1788.8,0
1/15/21 22:30,1780.4,0
1/15/21 22:45,1835.6,0
1/15/21 23:00,1748.4,0
1/15/21 23:15,1086.8,0
1/15/21 23:30,964.4,0
1/15/21 23:45,1481.2,0
3/14/21 0:00,2142,0
3/14/21 0:15,2302,0
3/14/21 0:30,2357.6,0
3/14/21 0:45,2214,0
3/14/21 1:00,2411.2,0
3/14/21 1:15,2381.2,0
3/14/21 1:30,2362,0
3/14/21 1:45,2059.6,0
3/14/21 2:00,2287.6,0
3/14/21 2:15,1893.2,0
3/14/21 2:30,2165.6,0
3/14/21 2:45,2068,0
3/14/21 3:00,2269.6,0
3/14/21 3:15,2112,0
3/14/21 3:30,2351.2,0
3/14/21 3:45,2269.2,0
3/14/21 4:00,2228,0
3/14/21 4:15,2148.4,0
3/14/21 4:30,2246.4,0
3/14/21 4:45,2120.8,0
3/14/21 5:00,2416.8,0
3/14/21 5:15,2214,0
3/14/21 5:30,2142.4,0
3/14/21 5:45,2150.8,0
3/14/21 6:00,2086,0
3/14/21 6:15,2344.4,0
3/14/21 6:30,2128.4,0
3/14/21 6:45,2099.2,0
3/14/21 7:00,1694.4,0
3/14/21 7:15,1307.2,0
3/14/21 7:30,864,0
3/14/21 7:45,1382.4,0
3/14/21 8:00,1996.8,0
3/14/21 8:15,2072.4,0
3/14/21 8:30,1828.4,0
3/14/21 8:45,1988.4,0
3/14/21 9:00,2071.2,0
3/14/21 9:15,2038,0
3/14/21 9:30,1988.4,0
3/14/21 9:45,2069.2,0
3/14/21 10:00,2411.6,0
3/14/21 10:15,2250,0
3/14/21 10:30,2205.6,0
3/14/21 10:45,2124,0
3/14/21 11:00,2192.8,0
3/14/21 11:15,1414.4,0
3/14/21 11:30,1096.4,0
3/14/21 11:45,1422,0
3/14/21 12:00,1814,0
3/14/21 12:15,2002.8,0
3/14/21 12:30,2046.4,0
3/14/21 12:45,2211.2,0
3/14/21 13:00,1994.8,0
3/14/21 13:15,2125.6,0
3/14/21 13:30,2049.2,0
3/14/21 13:45,2118.8,0
3/14/21 14:00,2085.6,0
3/14/21 14:15,2091.6,0
3/14/21 14:30,2204.4,0
3/14/21 14:45,2097.2,0
3/14/21 15:00,2156.8,0
3/14/21 15:15,2236,0
3/14/21 15:30,2266.4,0
3/14/21 15:45,2317.6,0
3/14/21 16:00,2362,0
3/14/21 16:15,2473.6,0
3/14/21 16:30,2287.6,0
3/14/21 16:45,2612.8,0
3/14/21 17:00,2446.8,0
3/14/21 17:15,2389.6,0
3/14/21 17:30,2080.4,0
3/14/21 17:45,1950.4,0
3/14/21 18:00,1811.2,0
3/14/21 18:15,1126.8,0
3/14/21 18:30,1034.4,0
3/14/21 18:45,1382.4,0
3/14/21 19:00,1702.8,0
