datetime,net_load_before_pv,pv
8/1/20 0:00,49.41470479,0
8/1/20 0:05,55.39230769,0
8/1/20 0:10,51.55384615,0
8/1/20 0:15,52.09230769,0
8/1/20 0:20,50.54615385,0
8/1/20 0:25,49.92307692,0
8/1/20 0:30,50.41538462,0
8/1/20 0:35,46.96923077,0
8/1/20 0:40,47.06923077,0
8/1/20 0:45,47.35384615,0
8/1/20 0:50,44.40769231,0
8/1/20 0:55,50.38461538,0
8/1/20 1:00,50.59230769,0
8/1/20 1:05,48.6,0
8/1/20 1:10,43.43846154,0
8/1/20 1:15,43.95384615,0
8/1/20 1:20,42.63076923,0
8/1/20 1:25,48.85384615,0
8/1/20 1:30,43.32857143,0
8/1/20 1:35,47.52307692,0
8/1/20 1:40,50.17692308,0
8/1/20 1:45,50.24615385,0
8/1/20 1:50,54.04615385,0
8/1/20 1:55,52.74285714,0
8/1/20 2:00,56.62307692,0
8/1/20 2:05,57.54615385,0
8/1/20 2:10,55.06153846,0
8/1/20 2:15,52.89230769,0
8/1/20 2:20,57.03846154,0
8/1/20 2:25,51.38461538,0
8/1/20 2:30,54.07692308,0
8/1/20 2:35,46.89230769,0
8/1/20 2:40,39.79230769,0
8/1/20 2:45,43,0
8/1/20 2:50,43.43076923,0
8/1/20 2:55,44.28461538,0
8/1/20 3:00,41.39285714,0
8/1/20 3:05,43.83076923,0
8/1/20 3:10,42.46153846,0
8/1/20 3:15,44.73846154,0
8/1/20 3:20,56.58461538,0
8/1/20 3:25,51.78461538,0
8/1/20 3:30,55.59285714,0
8/1/20 3:35,41.13846154,0
8/1/20 3:40,41.13076923,0
8/1/20 3:45,41.30769231,0
8/1/20 3:50,47.26153846,0
8/1/20 3:55,47.87142857,0
8/1/20 4:00,39.71538462,0
8/1/20 4:05,40.54615385,0
8/1/20 4:10,38.79230769,0
8/1/20 4:15,41.73846154,0
8/1/20 4:20,41.29230769,0
8/1/20 4:25,41.91538462,0
8/1/20 4:30,48.31538462,0
8/1/20 4:35,49.31538462,0
8/1/20 4:40,50.44615385,0
8/1/20 4:45,46.04615385,0
8/1/20 4:50,40.48461538,0
8/1/20 4:55,40.10769231,0
8/1/20 5:00,41.24285714,0
8/1/20 5:05,42.40769231,0
8/1/20 5:10,45.53846154,0
8/1/20 5:15,44.51538462,0
8/1/20 5:20,45.99230769,0
8/1/20 5:25,46.22142857,0
8/1/20 5:30,39.86923077,0
8/1/20 5:35,41.7,0
8/1/20 5:40,38.1,0
8/1/20 5:45,43.9,0
8/1/20 5:50,50.21538462,0
8/1/20 5:55,42.90769231,0
8/1/20 6:00,41.66153846,0
8/1/20 6:05,42.2,0
8/1/20 6:10,49.04615385,0
8/1/20 6:15,48.36923077,0
8/1/20 6:20,41.14285714,0
8/1/20 6:25,41.5,0
8/1/20 6:30,40.30769231,0
8/1/20 6:35,47.33846154,0
8/1/20 6:40,48.22307692,0
8/1/20 6:45,48.68461538,0
8/1/20 6:50,45.9,0
8/1/20 6:55,47.95384615,0
8/1/20 7:00,42.13846154,0
8/1/20 7:05,44.7,0
8/1/20 7:10,39.11538462,0
8/1/20 7:15,53,0
8/1/20 7:20,49.93846154,0
8/1/20 7:25,42.38461538,0
8/1/20 7:30,43.7,0
8/1/20 7:35,39.75384615,0
8/1/20 7:40,50.46923077,0
8/1/20 7:45,51.38461538,0
8/1/20 7:50,42.09285714,0
8/1/20 7:55,42.98461538,0
8/1/20 8:00,42.02307692,0
8/1/20 8:05,45.1,0
8/1/20 8:10,47.26923077,0
8/1/20 8:15,43.03846154,0
8/1/20 8:20,45.07692308,0
8/1/20 8:25,44.6,0
8/1/20 8:30,42.21538462,0
8/1/20 8:35,44.16153846,0
8/1/20 8:40,43.06153846,0
8/1/20 8:45,51.8,0
8/1/20 8:50,49.01538462,0
8/1/20 8:55,41.8,0
8/1/20 9:00,44.25384615,0
8/1/20 9:05,43.56153846,0
8/1/20 9:10,56.83846154,0
8/1/20 9:15,49.44615385,0
8/1/20 9:20,46.3,0
8/1/20 9:25,45.56153846,0
8/1/20 9:30,50.16923077,0
8/1/20 9:35,50.83076923,0
8/1/20 9:40,41.17692308,0
8/1/20 9:45,44.99230769,0
8/1/20 9:50,42.12857143,0
8/1/20 9:55,41.83076923,0
8/1/20 10:00,43.03846154,0
8/1/20 10:05,43.63076923,0
8/1/20 10:10,49.94615385,0
8/1/20 10:15,41.51538462,0
8/1/20 10:20,42.67692308,0
8/1/20 10:25,44.01538462,0
8/1/20 10:30,52.56923077,0
8/1/20 10:35,44.75384615,0
8/1/20 10:40,43,0
8/1/20 10:45,43.21538462,0
8/1/20 10:50,48.08461538,0
8/1/20 10:55,47.20714286,0
8/1/20 11:00,50.51538462,0
8/1/20 11:05,48.11538462,0
8/1/20 11:10,45.25384615,0
8/1/20 11:15,44.47692308,0
8/1/20 11:20,54.68571429,0
8/1/20 11:25,54.71538462,0
8/1/20 11:30,45.19230769,0
8/1/20 11:35,42.86153846,0
8/1/20 11:40,48.57692308,0
8/1/20 11:45,51.5,0
8/1/20 11:50,48.33846154,0
8/1/20 11:55,46.90769231,0
8/1/20 12:00,42.30769231,0
8/1/20 12:05,43.43076923,0
8/1/20 12:10,50.9,0
8/1/20 12:15,48.41538462,0
8/1/20 12:20,41.43076923,0
8/1/20 12:25,42.53076923,0
8/1/20 12:30,48.59230769,0
8/1/20 12:35,53.06923077,0
8/1/20 12:40,46.90769231,0
8/1/20 12:45,48.6,0
8/1/20 12:50,54.18461538,0
8/1/20 12:55,51.48461538,0
8/1/20 13:00,56.42142857,0
8/1/20 13:05,50.88461538,0
8/1/20 13:10,50.12307692,0
8/1/20 13:15,61.17692308,0
8/1/20 13:20,62.28461538,0
8/1/20 13:25,52.07692308,0
8/1/20 13:30,49.36923077,0
8/1/20 13:35,55.31428571,0
8/1/20 13:40,50.66153846,0
8/1/20 13:45,54.16153846,0
8/1/20 13:50,53.73076923,0
8/1/20 13:55,51.58461538,0
8/1/20 14:00,62.29230769,0
8/1/20 14:05,63.63846154,0
8/1/20 14:10,48.78461538,0
